country name,year,population growth,rural population growth,"population, total",population ages 0-14,gdp growth,"death rate, crude",population ages 65 and above,"life expectancy at birth, total",rural population,age dependency ratio,population ages 15-64,agricultural land,arable land,urban population,net migration,"fertility rate, total","birth rate, crude",adolescent fertility rate
Ethiopia,1962,2.52809631275193,2.28785054267295,22852158.0,42.6084232965749,4.3260913357996,22.573,2.79005166142409,41.403,93.126,83.1450643619977,54.601525042001,52.905540417802,10.4078110808356,6.874,8965.0,6.875,47.693,105.394
Ethiopia,1963,2.57813996048135,2.33085780220605,23448979.0,42.6060840987167,4.51863392642512,22.174,2.7687709296164,41.956,92.896,83.0658802740783,54.6251449716669,53.0245231607629,10.5640326975477,7.104,9418.0,6.872,47.813,108.149
Ethiopia,1964,2.62928376478602,2.372751303774,24073696.0,42.6865072982562,4.09048561086951,21.959,2.75796869745302,42.275,92.658,83.2994950101386,54.5555240042908,52.9791099000908,10.5640326975477,7.342,10745.0,6.867,48.048,114.278
Ethiopia,1965,2.67964351300075,2.41488065564456,24727506.0,42.8097783092237,5.77193201623412,21.878,2.75765578623255,42.444,92.413,83.7135515076878,54.4325659045437,53.2924613987284,10.8946412352407,7.587,16349.0,6.864,48.267,120.905
Ethiopia,1966,2.59524411062539,2.32109976380096,25377645.0,42.9308522731157,7.25659803666719,23.934,2.76279964585367,40.15,92.16,84.1405309892733,54.3063480810306,53.3787465940055,10.9627611262489,7.84,9162.0,6.867,48.457,125.407
Ethiopia,1967,2.62103647343565,2.33851929420172,26051596.0,43.0822894689446,4.06158788009805,21.713,2.77772233225174,42.692,91.9,84.70635721751,54.1399881988036,53.4514078110808,11.0354223433243,8.1,14434.0,6.88,48.659,130.512
Ethiopia,1968,2.75260071503388,2.57834447566151,26778653.0,43.2924856227832,4.14218784379234,21.664,2.80211069615787,42.844,91.74,85.5101657822393,53.9054036810589,53.5603996366939,11.1262488646685,8.26,9992.0,6.903,48.838,134.794
Ethiopia,1969,2.76853725035396,2.59179731697292,27530388.0,43.5358583310896,1.38865740812417,21.756,2.8246605682539,42.83,91.578,86.4298456365027,53.6394811006565,53.7693006357856,11.3805631244323,8.422,7265.0,6.937,49.304,148.236
Ethiopia,1970,2.78627275275661,2.60484156694362,28308246.0,43.8142546874858,3.48272874045621,21.818,2.84159781570359,42.815,91.412,87.4619887486696,53.3441474968106,53.7238873751135,11.3805631244323,8.588,8595.0,6.978,49.418,157.366
Ethiopia,1971,2.75710818913712,2.57315684355599,29099594.0,44.1404518540628,6.52647616348123,21.792,2.85574769779008,42.892,91.244,88.6657134700965,53.0038004481471,53.8964577656676,11.5985467756585,8.756,-14508.0,7.02,49.521,166.496
Ethiopia,1972,2.6844182693907,2.4957322637853,29891328.0,44.4769282248015,4.22715959044986,22.978,2.86437591531564,41.55,91.072,89.9021580351634,52.6586958598828,54.0690281562216,11.8074477747502,8.928,-3379.0,7.06,49.538,173.751
Ethiopia,1973,2.65090859876121,2.45966781166884,30694316.0,44.7485163051035,5.10986950752167,22.879,2.86729634242379,41.635,90.898,90.8973013690928,52.3841873524727,54.0236148955495,11.8074477747502,9.102,355.0,7.094,49.423,172.461
Ethiopia,1974,2.55484975424859,2.35993884792646,31488613.0,44.9156549874767,3.27365832430968,24.867,2.86530240526468,39.453,90.721,91.5010242624058,52.2190426072587,53.9782016348774,11.8074477747502,9.279,-4219.0,7.121,49.555,178.436
Ethiopia,1975,2.39783456781735,2.19812201355661,32252783.0,45.0366453648356,1.24613171474543,24.881,2.8591253660188,39.356,90.54,91.9229941641401,52.1042292691455,53.9327883742053,11.8074477747502,9.46,-42567.0,7.143,49.589,177.782
